2022-07-17 14:52:07,514 | INFO | ulauncher.utils.image_loader: get_app_icon_pixbuf() | Could not load icon for java18-openjdk. E: gtk-icon-theme-error-quark: Icon 'java18-openjdk' not present in theme Adwaita (0)
2022-07-17 14:52:07,515 | INFO | ulauncher.utils.image_loader: get_app_icon_pixbuf() | Could not load icon for preferences-system-network. E: gtk-icon-theme-error-quark: Icon 'preferences-system-network' not present in theme Adwaita (0)
2022-07-17 14:52:07,516 | INFO | ulauncher.utils.image_loader: get_app_icon_pixbuf() | Could not load icon for hwloc. E: gtk-icon-theme-error-quark: Icon 'hwloc' not present in theme Adwaita (0)
2022-07-17 14:52:07,516 | INFO | ulauncher.utils.image_loader: get_app_icon_pixbuf() | Could not load icon for network-wired. E: gtk-icon-theme-error-quark: Icon 'network-wired' not present in theme Adwaita (0)
2022-07-17 14:52:07,521 | INFO | ulauncher.utils.image_loader: get_app_icon_pixbuf() | Could not load icon for network-wired. E: gtk-icon-theme-error-quark: Icon 'network-wired' not present in theme Adwaita (0)
2022-07-17 14:52:07,553 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 14:52:07,587 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-07-17 14:52:07,768 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-07-17 14:52:07,927 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-07-17 14:52:08,119 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-07-17 14:52:08,559 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-07-17 14:52:08,755 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-07-17 14:52:08,920 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-07-17 14:52:09,122 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-07-17 14:52:09,302 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-07-17 14:52:09,647 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-07-17 14:52:10,734 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application GlobalProtect VPN (/usr/share/applications/com.yuezk.qt.gpclient.desktop) Exec ['env', 'QT_AUTO_SCREEN_SCALE_FACTOR=1', '/usr/bin/gpclient']
2022-07-17 14:52:10,742 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-17 14:52:22,821 | DEBUG | ulauncher.utils.display: get_screens() | Found 3 monitor(s)
2022-07-17 14:52:22,822 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 1920, Y: 0, W: 2560, H: 1440
2022-07-17 14:52:22,822 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 4480, Y: 0, W: 2560, H: 1440
2022-07-17 14:52:22,822 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 2 - X: 0, Y: 0, W: 1920, H: 1080
2022-07-17 14:52:22,824 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-17 14:52:23,615 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2022-07-17 14:52:23,733 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-07-17 14:52:23,844 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-07-17 14:52:23,887 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-07-17 14:52:24,015 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-07-17 14:52:24,169 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-07-17 14:52:24,566 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application IntelliJ IDEA Ultimate Edition (/usr/share/applications/jetbrains-idea.desktop) Exec ['intellij-idea-ultimate-edition']
2022-07-17 14:52:24,574 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-17 14:53:10,918 | DEBUG | ulauncher.utils.display: get_screens() | Found 3 monitor(s)
2022-07-17 14:53:10,918 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 1920, Y: 0, W: 2560, H: 1440
2022-07-17 14:53:10,918 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 4480, Y: 0, W: 2560, H: 1440
2022-07-17 14:53:10,918 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 2 - X: 0, Y: 0, W: 1920, H: 1080
2022-07-17 14:53:10,920 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-17 14:53:11,269 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
